Order ID,Customer ID,Product ID,Product Category,Purchase Amount,Purchase Date
O1,C214,P47,Sports,359.29,7/26/2023
O1,C214,P42,Sports,132.9,7/26/2023
O1,C214,P34,Books,18.92,7/26/2023
O1,C214,P27,Home & Kitchen,139.08,7/26/2023
O1,C214,P23,Home & Kitchen,282.24,7/26/2023
O1,C214,P28,Home & Kitchen,170.11,7/26/2023
O2,C493,P29,Home & Kitchen,50.97,7/22/2023
O3,C226,P17,Clothing,113.02,7/25/2023
O3,C226,P18,Clothing,102.91,7/25/2023
O4,C67,P43,Sports,253.5,7/10/2023
O4,C67,P29,Home & Kitchen,158.88,7/10/2023
O4,C67,P19,Clothing,106.97,7/10/2023
O4,C67,P17,Clothing,146.35,7/10/2023
O4,C67,P16,Clothing,144.33,7/10/2023
O4,C67,P38,Books,50.2,7/10/2023
O5,C67,P37,Books,20.51,10/28/2023
O5,C67,P38,Books,90.22,10/28/2023
O5,C67,P21,Home & Kitchen,256.47,10/28/2023
O5,C67,P18,Clothing,110.59,10/28/2023
O5,C67,P35,Books,86.03,10/28/2023
O6,C354,P27,Home & Kitchen,250.7,6/18/2023
O6,C354,P44,Sports,164.82,6/18/2023
O6,C354,P45,Sports,130.04,6/18/2023
O7,C223,P2,Electronics,290.95,7/6/2023
O7,C223,P4,Electronics,205.88,7/6/2023
O8,C81,P45,Sports,304.55,1/31/2023
O8,C81,P48,Sports,389.23,1/31/2023
O8,C81,P42,Sports,121.35,1/31/2023
O8,C81,P6,Electronics,215.21,1/31/2023
O8,C81,P14,Clothing,79.77,1/31/2023
O8,C81,P30,Home & Kitchen,107.09,1/31/2023
O9,C355,P1,Electronics,471.36,6/1/2023
O10,C320,P32,Books,76.93,4/18/2023
O10,C320,P30,Home & Kitchen,109.19,4/18/2023
O10,C320,P15,Clothing,145.86,4/18/2023
O11,C173,P44,Sports,349.62,8/27/2023
O11,C173,P24,Home & Kitchen,36.72,8/27/2023
O11,C173,P49,Sports,162.14,8/27/2023
O11,C173,P41,Sports,348.36,8/27/2023
O12,C416,P12,Clothing,104.66,10/14/2023
O13,C167,P42,Sports,267.18,1/23/2023
O14,C112,P13,Clothing,100.74,2/8/2023
O14,C112,P27,Home & Kitchen,55.95,2/8/2023
O14,C112,P13,Clothing,148.91,2/8/2023
O15,C288,P26,Home & Kitchen,143.02,4/11/2023
O15,C288,P50,Sports,160.13,4/11/2023
O16,C344,P39,Books,99.46,4/9/2023
O16,C344,P7,Electronics,103.9,4/9/2023
O17,C307,P13,Clothing,127.56,3/22/2023
O17,C307,P7,Electronics,487.63,3/22/2023
O17,C307,P34,Books,97.55,3/22/2023
O18,C411,P1,Electronics,423.94,7/14/2023
O18,C411,P17,Clothing,177.7,7/14/2023
O18,C411,P11,Clothing,70.3,7/14/2023
O18,C411,P10,Electronics,249.87,7/14/2023
O19,C271,P46,Sports,145.39,7/20/2023
O19,C271,P27,Home & Kitchen,176.71,7/20/2023
O19,C271,P39,Books,78.01,7/20/2023
O20,C163,P36,Books,10.57,11/28/2023
O20,C163,P4,Electronics,399.68,11/28/2023
O20,C163,P14,Clothing,135.19,11/28/2023
O20,C163,P33,Books,32.74,11/28/2023
O20,C163,P13,Clothing,112.86,11/28/2023
O20,C163,P36,Books,61.3,11/28/2023
O21,C472,P35,Books,10.9,3/2/2023
O21,C472,P46,Sports,232.44,3/2/2023
O21,C472,P8,Electronics,217.14,3/2/2023
